0.000000000000000000e+00 1.000000000000000000e+03 1.000000000000000000e+00 9.999999999999999452e-21
1.000100010001000106e-03 9.999969983054464819e+02 1.002000127634130155e+00 1.001566919140514308e-03
2.000200020002000211e-03 9.999939920201973109e+02 1.004003311186326242e+00 2.004668616078905587e-03
3.000300030003000100e-03 9.999909797339065562e+02 1.006010490398935531e+00 3.009775694277325858e-03
4.000400040004000422e-03 9.999879614346403969e+02 1.008021673205592217e+00 4.016892153761721443e-03
5.000500050005000745e-03 9.999849371104417060e+02 1.010036867555537787e+00 5.026022002500255860e-03
6.000600060006000200e-03 9.999819067493295961e+02 1.012056081413650777e+00 6.037169256418943586e-03
7.000700070007000522e-03 9.999788703392994194e+02 1.014079322760477186e+00 7.050337939417311572e-03
8.000800080008000845e-03 9.999758278683236767e+02 1.016106599592261128e+00 8.065532083384072473e-03
9.000900090009001167e-03 9.999727793243500855e+02 1.018137919920974355e+00 9.082755728212849045e-03
1.000100010001000149e-02 9.999697246953029435e+02 1.020173291774347568e+00 1.010201292181791069e-02
1.100110011001100181e-02 9.999666639690829015e+02 1.022212723195900175e+00 1.112330772014995597e-02
1.200120012001200040e-02 9.999635971335665090e+02 1.024256222244970260e+00 1.214664418721191248e-02
1.300130013001300072e-02 9.999605241766068957e+02 1.026303796996746343e+00 1.317202639507478006e-02
1.400140014001400104e-02 9.999574450860325214e+02 1.028355455542296903e+00 1.419945842389348789e-02
1.500150015001500137e-02 9.999543598496483128e+02 1.030411205988600809e+00 1.522894436192279849e-02
1.600160016001600169e-02 9.999512684552349810e+02 1.032471056458579950e+00 1.626048830553323415e-02
1.700170017001700201e-02 9.999481708905487949e+02 1.034535015091127441e+00 1.729409435922703298e-02
1.800180018001800233e-02 9.999450671433226034e+02 1.036603090041139819e+00 1.832976663565414471e-02
1.900190019001900266e-02 9.999419572012642448e+02 1.038675289479548125e+00 1.936750925562824230e-02
2.000200020002000298e-02 9.999388410520581374e+02 1.040751621593348109e+00 2.040732634814277496e-02
2.100210021002100330e-02 9.999357186833635751e+02 1.042832094585630864e+00 2.144922205038706300e-02
2.200220022002200362e-02 9.999325900828160911e+02 1.044916716675615032e+00 2.249320050776238908e-02
2.300230023002300395e-02 9.999294552380271170e+02 1.047005496098677213e+00 2.353926587389815889e-02
2.400240024002400080e-02 9.999263141365825049e+02 1.049098441106382396e+00 2.458742231066806533e-02
2.500250025002500112e-02 9.999231667660448011e+02 1.051195559966517257e+00 2.563767398820631510e-02
2.600260026002600144e-02 9.999200131139514269e+02 1.053296860963118586e+00 2.669002508492383449e-02
2.700270027002700177e-02 9.999168531678155887e+02 1.055402352396506815e+00 2.774447978752456537e-02
2.800280028002800209e-02 9.999136869151254814e+02 1.057512042583317102e+00 2.880104229102175076e-02
2.900290029002900241e-02 9.999105143433444027e+02 1.059625939856529531e+00 2.985971679875427595e-02
3.000300030003000273e-02 9.999073354399116624e+02 1.061744052565501528e+00 3.092050752240302000e-02
3.100310031003100306e-02 9.999041501922415591e+02 1.063866389075999397e+00 3.198341868200726273e-02
3.200320032003200338e-02 9.999009585877231530e+02 1.065992957770229621e+00 3.304845450598110218e-02
3.300330033003300023e-02 9.998977606137214025e+02 1.068123767046870842e+00 3.411561923112991362e-02
3.400340034003400402e-02 9.998945562575758004e+02 1.070258825321104945e+00 3.518491710266685724e-02
